id,order_date,delivery_date,delivered,product_id,product,category,cost,amount,price,discount,taxes,freight_cost
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,e64f72d7-5b4b-466f-a445-83c677d004c7,Gabinete,Componentes,3.896.000,53.000,247.890,3.870,1.360,5.000
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,7c9d4229-4c08-45d0-91d9-c23a49a80cb8,Estabilizador,Energia,5.481.000,6.000,384.935,3.510,2.000,5.000
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,44ffe4a2-3ba1-4b85-ad47-0c195eb4cc8d,Estabilizador 1000VA,Energia,8.713.000,75.000,931.132,5.000,2.000,5.000
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,bac43980-c9bc-4a38-bbb2-d66fe979e348,Placa de Vídeo,Componentes,8.534.000,46.000,791.943,3.760,2.000,4.290
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,0dd9517d-82a8-4671-9344-c84b80d3f349,Processador,Componentes,5.876.000,29.000,604.678,3.480,2.000,1.730
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,e5c01141-2a60-4378-bcb7-cda3ab621dd8,Fone de Ouvido Sem Fio,Áudio,4.230.000,13.000,423.675,4.840,2.000,4.810
4434e226-c916-4760-8e5a-f51d1cdec1c9,09/05/2021,20/05/2021,TRUE,3f892824-550d-41c0-ac19-98ca5f558f81,Notebook,Computadores,6.449.000,35.000,559.563,4.190,1.750,1.620
457c48df-0597-4157-bc8d-6ebd639ec4fc,09/05/2021,01/06/2021,FALSE,98549fde-2cf5-4c19-a93d-d92648869276,Cartucho de Tinta HP,Suprimentos,6.048.000,14.000,499.871,5.000,2.000,1.920
457c48df-0597-4157-bc8d-6ebd639ec4fc,09/05/2021,01/06/2021,FALSE,e53ef18e-fd36-47d8-81d0-040fb78c0897,Fonte de Alimentação,Energia,3.506.000,57.000,246.210,2.870,2.000,2.610
457c48df-0597-4157-bc8d-6ebd639ec4fc,09/05/2021,01/06/2021,FALSE,43511872-185c-4705-8cf5-0ce79927fcf1,Fone de Ouvido,Áudio,5.997.000,50.000,572.818,1.060,2.000,1.230
